Year,coal,Natural Gas,Distillate Fuel Oil,HGL,Jet Fuel,Motor Gasoline,Residual Fuel Oil,Other,Total
1960,68.20 ,195.00 ,24.40 ,12.10 ,2.60 ,86.50 ,11.80 ,24.30 ,424.90 
1965,98.10 ,204.50 ,22.90 ,12.80 ,19.30 ,101.50 ,12.90 ,29.10 ,501.10 
1970,115.70 ,275.00 ,30.40 ,17.90 ,42.30 ,137.10 ,9.50 ,36.30 ,664.10 
1971,105.70 ,281.80 ,36.40 ,19.20 ,43.40 ,145.30 ,10.00 ,33.20 ,675.10 
1972,119.00 ,301.70 ,40.10 ,22.60 ,43.90 ,157.70 ,12.40 ,34.60 ,731.90 
1973,140.50 ,311.70 ,46.10 ,22.10 ,43.60 ,165.60 ,14.40 ,35.90 ,779.80 
1974,138.30 ,302.70 ,51.30 ,19.30 ,41.50 ,161.70 ,19.20 ,29.90 ,764.00 
1975,159.30 ,281.00 ,51.50 ,18.90 ,40.40 ,167.70 ,21.30 ,26.60 ,766.80 
1976,185.10 ,276.30 ,55.00 ,20.40 ,43.70 ,173.10 ,24.10 ,28.50 ,806.20 
1977,223.80 ,254.00 ,57.90 ,19.50 ,44.70 ,180.20 ,20.40 ,32.30 ,832.80 
1978,218.60 ,234.60 ,59.60 ,22.30 ,46.90 ,193.80 ,24.70 ,27.70 ,828.20 
1979,238.00 ,260.80 ,70.20 ,14.20 ,34.20 ,185.30 ,5.80 ,30.90 ,839.50 
1980,247.60 ,244.80 ,65.40 ,14.30 ,26.70 ,180.10 ,11.40 ,29.90 ,820.20 
1981,278.70 ,201.40 ,50.80 ,13.80 ,31.00 ,181.90 ,0.90 ,23.30 ,781.90 
1982,276.40 ,216.10 ,53.80 ,17.00 ,31.40 ,184.40 ,0.10 ,21.90 ,801.10 
1983,254.70 ,207.10 ,63.70 ,17.80 ,34.70 ,176.50 ,2.10 ,25.10 ,781.70 
1984,286.90 ,221.00 ,58.30 ,8.50 ,48.10 ,176.60 ,1.10 ,33.10 ,833.60 
1985,299.10 ,209.80 ,53.30 ,8.70 ,44.50 ,187.80 ,1.20 ,31.50 ,835.80 
1986,295.40 ,190.30 ,56.10 ,8.10 ,45.60 ,191.80 ,1.50 ,30.80 ,819.70 
1987,296.50 ,201.50 ,54.80 ,8.80 ,47.40 ,190.10 ,0.20 ,32.50 ,831.90 
1988,311.40 ,218.60 ,62.30 ,10.00 ,36.50 ,191.20 ,0.20 ,36.20 ,866.30 
1989,323.50 ,240.60 ,56.90 ,13.80 ,30.20 ,186.10 ,0.10 ,33.40 ,884.50 
1990,337.40 ,232.30 ,58.90 ,11.30 ,34.60 ,186.80 ,0.10 ,34.80 ,896.10 
1991,330.60 ,268.80 ,61.00 ,13.00 ,36.80 ,187.40 ,0.50 ,32.70 ,930.80 
1992,339.70 ,259.00 ,64.10 ,11.80 ,41.60 ,188.00 ,0.30 ,35.10 ,939.60 
1993,347.20 ,286.40 ,69.20 ,12.70 ,50.70 ,195.70 ,0.10 ,35.90 ,997.90 
1994,359.40 ,272.20 ,69.20 ,12.60 ,44.90 ,203.30 ,0.00 ,41.90 ,1003.40 
1995,344.20 ,288.40 ,70.90 ,14.60 ,42.00 ,212.10 ,0.10 ,38.20 ,1010.40 
1996,350.70 ,315.90 ,72.60 ,14.40 ,44.00 ,218.90 ,0.10 ,41.10 ,1057.70 
1997,362.40 ,311.90 ,69.00 ,6.90 ,40.70 ,222.40 ,0.00 ,32.40 ,1045.80 
1998,364.90 ,328.90 ,84.50 ,5.00 ,38.50 ,228.10 ,0.00 ,46.30 ,1096.10 
1999,364.20 ,330.90 ,87.40 ,11.20 ,44.20 ,240.40 ,0.00 ,29.50 ,1108.00 
2000,387.90 ,366.10 ,90.60 ,23.60 ,43.00 ,241.60 ,0.00 ,39.70 ,1192.60 
2001,400.00 ,464.10 ,101.50 ,23.60 ,43.80 ,251.30 ,0.00 ,33.10 ,1317.30 
